category|feature|source_evidence|frontend|c11|used_by_s|accepted_by_a1|lowered_by_a1|self_application|positive|negative|differential|status
builtin|args|bootstrap/stage1/compiler.kofun|bootstrap/selfhost/frontend/accept_builtins.hir|bootstrap/selfhost/driver/S.c|inventory:S|a1-accept:corpus_builtins|a1-lower:corpus_builtins|gate:selfhost-self-compile|bootstrap/selfhost/check-compiler-driver.sh|bootstrap/selfhost/driver/corpus_reject.kofun|bootstrap/selfhost/check-compiler-driver.sh|complete
builtin|chars|bootstrap/stage1/compiler.kofun|bootstrap/selfhost/frontend/accept_builtins.hir|bootstrap/selfhost/c11/accept_lists.c|inventory:S|a1-accept:corpus_list_text|a1-lower:corpus_list_text|gate:selfhost-self-compile|bootstrap/selfhost/c11/accept_lists.kofun|bootstrap/selfhost/frontend/reject_builtin_argument.kofun|bootstrap/selfhost/c11/check-c11.sh|complete
builtin|contains|bootstrap/stage1/compiler.kofun|bootstrap/selfhost/frontend/accept_builtins.hir|bootstrap/selfhost/c11/accept_text_pipeline.c|inventory:S|a1-accept:corpus_builtins|a1-lower:corpus_builtins|gate:selfhost-self-compile|bootstrap/selfhost/c11/accept_text_pipeline.kofun|bootstrap/selfhost/frontend/reject_builtin_argument.kofun|bootstrap/selfhost/c11/check-c11.sh|complete
builtin|fail|bootstrap/stage1/compiler.kofun|bootstrap/selfhost/frontend/S.hir|bootstrap/selfhost/driver/S.c|inventory:S|a1-accept:corpus_trap_fail|a1-lower:corpus_trap_fail|gate:selfhost-self-compile|bootstrap/selfhost/check-compiler-driver.sh|bootstrap/selfhost/driver/corpus_reject.kofun|bootstrap/selfhost/check-compiler-driver.sh|complete
builtin|find|bootstrap/stage1/compiler.kofun|bootstrap/selfhost/frontend/accept_builtins.hir|bootstrap/selfhost/c11/accept_text_pipeline.c|inventory:S|a1-accept:corpus_builtins|a1-lower:corpus_builtins|gate:selfhost-self-compile|bootstrap/selfhost/c11/accept_text_pipeline.kofun|bootstrap/selfhost/frontend/reject_builtin_argument.kofun|bootstrap/selfhost/c11/check-c11.sh|complete
builtin|is_digit|bootstrap/stage1/compiler.kofun|bootstrap/selfhost/frontend/accept_builtins.hir|bootstrap/selfhost/c11/accept_text_pipeline.c|inventory:S|a1-accept:corpus_builtins|a1-lower:corpus_builtins|gate:selfhost-self-compile|bootstrap/selfhost/c11/accept_text_pipeline.kofun|bootstrap/selfhost/frontend/reject_builtin_argument.kofun|bootstrap/selfhost/c11/check-c11.sh|complete
builtin|is_space|bootstrap/stage1/compiler.kofun|bootstrap/selfhost/frontend/accept_builtins.hir|bootstrap/selfhost/c11/accept_limits.c|inventory:S|a1-accept:corpus_builtins|a1-lower:corpus_builtins|gate:selfhost-self-compile|bootstrap/selfhost/c11/accept_limits.kofun|bootstrap/selfhost/frontend/reject_builtin_argument.kofun|bootstrap/selfhost/c11/check-c11.sh|complete
builtin|is_xid_continue|bootstrap/stage1/compiler.kofun|bootstrap/selfhost/frontend/accept_builtins.hir|bootstrap/selfhost/c11/accept_unicode.c|inventory:S|a1-accept:corpus_builtins|a1-lower:corpus_builtins|gate:selfhost-self-compile|bootstrap/selfhost/c11/accept_unicode.kofun|bootstrap/selfhost/frontend/reject_builtin_argument.kofun|bootstrap/selfhost/c11/check-c11.sh|complete
builtin|len|bootstrap/stage1/compiler.kofun|bootstrap/selfhost/frontend/accept_builtins.hir|bootstrap/selfhost/c11/accept_text_pipeline.c|inventory:S|a1-accept:corpus_list_text|a1-lower:corpus_list_text|gate:selfhost-self-compile|bootstrap/selfhost/c11/accept_text_pipeline.kofun|bootstrap/selfhost/frontend/reject_len_argument.kofun|bootstrap/selfhost/c11/check-c11.sh|complete
builtin|print|bootstrap/stage1/compiler.kofun|bootstrap/selfhost/frontend/accept_builtins.hir|bootstrap/selfhost/driver/S.c|inventory:S|a1-accept:corpus_answer|a1-lower:corpus_answer|gate:selfhost-self-compile|bootstrap/selfhost/check-compiler-driver.sh|bootstrap/selfhost/driver/corpus_reject.kofun|bootstrap/selfhost/check-compiler-driver.sh|complete
